arch,run_ts,trial_id,session_id,session_index,warmup,adapter_name,adapter_ms,from_scene,to_scene,scene_ms,has_scene,has_audit,config_version_hash,seed,decision_hash,adapter_calls_path,scene_transitions_path,audit_path
B1,20260202_163146,trial_0000,session_0000,0,1,B1,2.156,SampleScene,SampleScene,156.41,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1234,7c0a1bcd1190112cf47c736a25d7b36ab08a6799d74708f40ade552fec5149f4,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0001,1,1,B1,0.084,SampleScene,SampleScene,145.28,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1235,3d239bc75fa92a8a515f75d88ec306256ee97c10969790c29096537ff2fd50f1,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0002,2,1,B1,0.081,SampleScene,SampleScene,148.716,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1236,3f222829b65566b44372c8a2d30bf8421697b17344337e0a3a7536550a1d41dd,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0003,3,1,B1,0.085,SampleScene,SampleScene,143.696,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1237,86085cae2e1c8c7c13faa357897535fbb88570cf1155689fcc4bd864820dee60,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0004,4,1,B1,0.081,SampleScene,SampleScene,141.663,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1238,4e163923f2251f6c05528a63d27ed0788b48acc0bc6cd938369412c7239fe467,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0005,5,0,B1,0.082,SampleScene,SampleScene,145.492,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1239,f91da18101fc471fb1d015193c2a2ca6f15ba6e275749173da59e7c402401a93,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0006,6,0,B1,0.083,SampleScene,SampleScene,145.994,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1240,ad0a9ce740f372c6aaa44a6c41179dcbd1250fa98ce908c92c6a7bda6312f35b,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0007,7,0,B1,0.082,SampleScene,SampleScene,143.375,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1241,d4e107c896c743615691bf8f862eaff81b834aa66282f28e77275a90361e6f25,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0008,8,0,B1,0.085,SampleScene,SampleScene,145.855,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1242,2ec3d5aa17c4d0e11ff12476a861adeec9c6707ee1d003b450e311bafe3b3bd9,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
B1,20260202_163146,trial_0000,session_0009,9,0,B1,0.09,SampleScene,SampleScene,145.837,1,1,28cfa02b79fa7d224fde464fc5a017fe03fd80e289e4c7157f951451fcb02810,1243,822da3e8b299754e2f81325ffa8c00b9550db591c3281042cef13e184d4403a9,Experiments\out\B1\20260202_163146\trial_0000\adapter_calls.csv,Experiments\out\B1\20260202_163146\trial_0000\scene_transitions.csv,Experiments\out\B1\20260202_163146\trial_0000\audit.jsonl
